sig	mint	ts	side	fee	nat_d	wsol_d	tok_d	dec	pool	base_pre	base_post	quote_pre	quote_post	prog	nonce	rent_d	tip
yutdroHZi9yiVXPpgiJhZgHEJYun2nrbjnQtopbVLBaHKdcNQDJhbE9kYArLvQ3iXGbu8E2T1NjDegQg1aq97kB	C6WhqN9G8FhuVNAmKNpzA8T6JTzhVHxMGu7eEmVYpqEh	1787830551	SELL	16238300	-16238300	99400497	-24048	6	GdvnV9iL4zrZNT9H1of2EhBV9LTtHtWTBbnnq5u9bnrX	24	24060	99500002	99505	pumpswap	1	0	0
o8KwwaCmzHnRxDg5wJML6hpFk3g4A7LQ5NDyJqK9eGRaWXTbAV6PqL9fAGDDjCi2ve2V6TLRHvkHXec3aVguYFo	C6WhqN9G8FhuVNAmKNpzA8T6JTzhVHxMGu7eEmVYpqEh	1787830551	BUY	9600	-9600	-20000	293863803	6	GdvnV9iL4zrZNT9H1of2EhBV9LTtHtWTBbnnq5u9bnrX	368449799	74438621	5001	25001	pumpswap	0	0	0
5JckDSVu5uDnnZXyzFMVZhbCJTE4XV2nbZ3WjSiVE61qhfKwdBVxTHKhAQcHZfM2jDvZtMcshsNCP9fVBxhybvPE	GZtrZnRXDx4BAb3iNiPmNaKDcgMQzDecNSQFixQqt5qQ	1787829915	BUY	9600	-2083680	-20000	229481450	6	5TZDXMKKrvPL76hvsZncRDF5pFFHa9uVt2MCinuGd51w	989011241737026	989011012140490	85936704432	85936724432	pumpswap	0	2074080	0
YGe95jNNrZgWqJL5C73GRA5RmoXpkvkWBtTGNv4fQM1PfWPJsmfwudoNMukGWmpLma3jbW4uV4EStwPTM96A12K	GZtrZnRXDx4BAb3iNiPmNaKDcgMQzDecNSQFixQqt5qQ	1787830268	SELL	31638968	-42185290	210715508	-18036	6	5TZDXMKKrvPL76hvsZncRDF5pFFHa9uVt2MCinuGd51w	18	18045	210926447	210939	pumpswap	1	0	10546322
4kcUx2qWbe9f5NmcUe4bZGJV98GuTjCRXiYC6WbfYrXzuQ7Cta66XLv2hzNXXX3E1JUKTYi1nrQAYhAesSvkNteT	GZtrZnRXDx4BAb3iNiPmNaKDcgMQzDecNSQFixQqt5qQ	1787830360	BUY	9600	-9600	-20000	1112397134027	6	5TZDXMKKrvPL76hvsZncRDF5pFFHa9uVt2MCinuGd51w	1115800154348	2845148137	1	20001	pumpswap	0	0	0
5KiqSmWpNk5ShQ28J3ZZJWPap6AH2tTBVV1p8ado5JxswpjpjBmJX8Tv8okrmowWcBnk7dhQwvcXTSg2dxZYhbwQ	AxAK6rzR4JDo2Lqjy7N2wsrQKXedTAGArQeGrt2i9wnP	1787773036	BUY	9600	-2048880	-20000	18618018	6	CS3v25wqFABDsRfHUVWSQLGp5HhoyXgK5ZRG44Y3o4rs	126041084708335	126041066080979	134990659097	134990679097	pumpswap	0	2039280	0
3DC3R5tAHPLF3ev1AuTGTzDHMXrkrVsFJ45vx7AMxhMWSDkBvxMAxdSVscZsuRGTxPNAoD3S25Edsa5PGbziXLoL	AxAK6rzR4JDo2Lqjy7N2wsrQKXedTAGArQeGrt2i9wnP	1787827104	SELL	1000001	-67250341	1325006808	-18618018	6	HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC	2921012	21539030	1535977405	210970597	meteora-damm2	1	0	66250340
3cpwDmo9LkkxwA2JofuBsVjX9Km2FKKZThcxj6CCJARLujLSqVsxBzPNZ32i77Lp2gqiBf8BupCBiycXTaepTxgT	BHsc52EvkMcB5rf6iK41VMiZTPSFaenwSSFrPZ1otQ9e	1787772438	BUY	9600	-2083680	-20000	223964801	6	2rysRTn9aKsQ4RYmSpXr34YyMGb4hoWF4Hi9uLdDYEpy	977066329463158	977066105386037	86990000000	86990020000	pumpswap	0	2074080	0
ddpwvc6QS4KzZu8864FiMRYWV3vk5b1MpUjnudjnL6mwiBieMh92zYe1Sp72yWFmWMswUBGgXyhWbTh1w71NPZi	BHsc52EvkMcB5rf6iK41VMiZTPSFaenwSSFrPZ1otQ9e	1787775051	SELL	90720918	-90720918	329086028	-22044	6	2rysRTn9aKsQ4RYmSpXr34YyMGb4hoWF4Hi9uLdDYEpy	22	22055	329415459	329431	pumpswap	1	0	0
4WBo1N4pGDs9S9nUdyWvt3sVbo4WWNiYAtV2Sd67BdsyxnvDsu8SjF8LE5seLwS9VtZJ7bWxb1JRzgJk53gkpKGx	ezoBXANwRAa9dcsage2E54QvjYLmTgjuaYnaNFwpump	1787940121	BUY	9600	-2083680	-20000	2319213	6	CC7z6QBbBG1NWaSDCnQUZQqbPBGqQm91zwMSYwZnyw29	45419349210042	45419346890829	370177647765	370177667606	pumpswap	0	2074080	0
2q4ArN6nrHAtrN5EbrahiSQjFjLrJ27XQ5GtSfKTqF915udjGLS1if4qdr87ZYgrGF8FRMhdTpz5RQceFz9vnUxg	E9Zhi2a7voN2CGfC5rBEAdUkc155b2ojVhNUMSVUymVg	1787931561	BUY	9600	-2048880	-20000	19934854	6	mMjRfnGoE6voKCHz276D8NbMN3Y74AUM3aVjsF9QxSb	199949194882298	199949174937446	200000772244	200000792244	pumpswap	0	2039280	0
3JTieQE8PXvXa9kEzhxgfP2AVeMfAJBYfh1R2385wJYEU8f9BE9YhViD3va3b761aRkV4mji7iubzKGSfsQe9TqP	E9Zhi2a7voN2CGfC5rBEAdUkc155b2ojVhNUMSVUymVg	1787931610	SELL	199054	-1194318	19909239	-19934854	6	F1CVTYcfwaGAMsh5Gv2TVzQhaHeNzotpXh8BdyT5dQcG	57727834	77662688	77720597	57811358	meteora-damm2	1	0	995264
bcEmbBydbUsEbNAH7F1vkpAwuomrt1UkXpwpeUYVcSDwQnLQVFKVuLu9QLwZKXjDyanA9hxmrdCstqtmCDdbE7D	3A8HAgxucEgQZwrMyf2RVH95nddD5wZSbkHSTHsT34j7	1787927654	BUY	9600	-2048880	-20000	2218268	6	8ficanZ3nY8etinryw6VXd54LobttsFrvBYJZ9payhoQ	133496683804253	133496681584872	1200000084715	1200000104715	pumpswap	0	2039280	0
4ppntETuB2cZE9bdHWeasmS8oRBq8K8ivi1BWbBhSSKGTMkssQvx3MYeWrqRvrhjzpAbVz5KRkvYLb8B8tRCeu5S	3A8HAgxucEgQZwrMyf2RVH95nddD5wZSbkHSTHsT34j7	1787927761	SELL	305287	-1831712	30534581	-2218268	6	31yEMZq7ZCD7rJF5igcGa8gHWtzzkPz2ForeX1xHmByY	67076	2285344	31526129	991548	meteora-damm2	1	0	1526425
QVdHnikceso2TGd7w1ntr6cuRfJU6oDVk8XKVqGdqrj8B9gdWTQTj3StYNSEV9xeN5UFKeSuFqtYq1LwSXSwM6F	3A8HAgxucEgQZwrMyf2RVH95nddD5wZSbkHSTHsT34j7	1787972720	BUY	9600	-2048880	-20000	6265389	6	8ficanZ3nY8etinryw6VXd54LobttsFrvBYJZ9payhoQ	6284558	16026	1	20001	pumpswap	0	2039280	0
4Y4LgZ7HP2QqrELWBPm5xZ4q339VQFc2NtnsFfy112CYPvGEQcDd6r5tLwiQPpwH6NfojVu91rAwPLddnvN6qTas	G9Ubyair6LcaLntEQoXU7AWHdht4VCk7ZH7TcJsnvNA2	1787910174	BUY	9600	-2083680	-20000	4775678	6	4qHZA97JviPPCQSFErVK54qL8dS5yDNNULpDicNG2ogE	42391949152544	42391944374470	177000000000	177000020000	pumpswap	0	2074080	0
HoEzpWbNHDUGYsoMaxE4XzWmsenG92SjGoz1i4vKhD9ucifQSjExCT8ydEY9m2P7xFFXMSBx1ozp8evcqyCoR6g	G9Ubyair6LcaLntEQoXU7AWHdht4VCk7ZH7TcJsnvNA2	1787921727	SELL	71895507	-71895507	469435910	-4008	6	4qHZA97JviPPCQSFErVK54qL8dS5yDNNULpDicNG2ogE	4	4010	469905934	470024	pumpswap	1	0	0
56HyQjK9zdAJecsbJpssqSS9rpF8cvefCXZkheM2bob9odKZfjigMmKQr245fYtpzv2888tWRq4bGqDz9GKZcauV	6LJfxtrbceqsutxiddxUs7GidZNg1WtuMbmdiB1KbZ64	1787920887	BUY	9600	-2083680	-20000	137475601	6	GU32BYvRC4FQqjo8ptV8KdfY9TxEkyndU5xewSJxMawj	592786113049548	592785975505002	85980000000	85980020000	pumpswap	0	2074080	0
3ZxizUU8Cc9sphKw6UhfsFZVQmqBUzGazKnWVDWqrKWYs595AjnKtuTzLUNkswK1wwnJsT92zVkffaqRXbxTGL7k	6LJfxtrbceqsutxiddxUs7GidZNg1WtuMbmdiB1KbZ64	1787921364	SELL	1200001	-3774081	9989999	-16029	6	GU32BYvRC4FQqjo8ptV8KdfY9TxEkyndU5xewSJxMawj	16	16037	10000002	10003	pumpswap	1	2074080	500000
2wCm4nxUMrJFXYVVrgYzzVjjWcTqBJw8RxxgnvvuvDuT96AoDeSmdMKVUXQqbQ5VAa8mZmoAAZM3xgfD6MidQ8h3	5JfAcKovuMwUL3eY2x6AynQb7dgR25MwCJQSj7C9fQt5	1774065374	BUY	10040	-2049320	-20000	146852	6	B9VBSL3gysgs3A3AfewpAE42GEd99xTB8txdxdB32kYt	8933901	8786975	1193058	1213058	pumpswap	0	2039280	0
4reUng4DoTSHANdZ5H2YcRWY8T1ZFLahQTTbKw3kaXvFLMHYA73oVkops4m6uuU2JeLfJ573rhKUkxQeEyWzyCm	5JfAcKovuMwUL3eY2x6AynQb7dgR25MwCJQSj7C9fQt5	1774946133	BURN	5200	2034080	0	-146852	6	-	0	0	0	0	spl-burn	0	-2039280	0
cnFua8hnzwdPowabbcPd51Dncas9o32YGGvgZaZFtJzSuxEd6zuXvbCpajBCNrPchPxfFT37d45DvDNDkn6fkq4	5JfAcKovuMwUL3eY2x6AynQb7dgR25MwCJQSj7C9fQt5	1787175655	BUY	9600	-2048880	-20000	442	6	B9VBSL3gysgs3A3AfewpAE42GEd99xTB8txdxdB32kYt	4343110	4342667	195034285	195054285	pumpswap	0	2039280	0
Jf5BKGTjs8sM2iY2GdNvjYjG7x3YLfd59ikWjR3sskxdvL8JiyVG2RZ11FWZta57yCiszaNAhQ3eX6pdtz5JkfU	5JfAcKovuMwUL3eY2x6AynQb7dgR25MwCJQSj7C9fQt5	1787176832	BUY	9600	-9600	-20000	5826	6	B9VBSL3gysgs3A3AfewpAE42GEd99xTB8txdxdB32kYt	15756374	15750545	53894425	53914425	pumpswap	0	0	0
